"","gene.name","user.type"
"1","IL1R1","ILR"
"2","IL1RAP","ILR"
"3","IL1RN","ILR"
"4","IL2RA","ILR"
"5","IL2RB","ILR"
"6","IL2RG","ILR"
"7","IL3RA","ILR"
"8","IL4R","ILR"
"9","IL5RA","ILR"
"10","IL6R","ILR"
"11","IL6ST","ILR"
"12","IL6STP1","ILR"
"13","IL7R","ILR"
"14","IL9R","ILR"
"15","IL10RA","ILR"
"16","IL10RB","ILR"
"17","IL11RA","ILR"
"18","IL12RB1","ILR"
"19","IL12RB2","ILR"
"20","IL13RA1","ILR"
"21","IL13RA2","ILR"
"22","IL15RA","ILR"
"23","IL1R2","ILR"
"24","IL18RAP","ILR"
"25","IL1RL2","ILR"
"26","IL18R1","ILR"
"27","IL1RL1","ILR"
"28","IL27RA","ILR"
"29","IL1RAPL1","ILR"
"30","IL17RA","ILR"
"31","IL1RAPL2","ILR"
"32","IL36RN","ILR"
"33","IL21R","ILR"
"34","IL20RA","ILR"
"35","IL20RB","ILR"
"36","IL17RD","ILR"
"37","IL17RB","ILR"
"38","IL22RA1","ILR"
"39","IL17RC","ILR"
"40","IL22RA2","ILR"
"41","IL17RE","ILR"
"42","IL31RA","ILR"
"43","IL23R","ILR"
"44","IL6RP1","ILR"
"45","IL21R-AS1","ILR"
"46","IL17REL","ILR"
"47","IL9RP2","ILR"
"48","IL9RP3","ILR"
"49","IL9RP1","ILR"
"50","IL9RP4","ILR"
"51","IL10RB-DT","ILR"
"52","IL6R-AS1","ILR"
"53","IL20RB-AS1","ILR"
"54","IL1R1-AS1","ILR"
